STOP_ID,STOP_NAME,MODE,LONGITUDE,LATITUDE
27644,Horsham Racecourse & Recreation Reserve/Baillie St,REGIONAL BUS,142.189972,-36.711846
27645,Horsham Racecourse & Recreation Reserve/Baillie St,REGIONAL BUS,142.189992,-36.711694
27646,Horsham College/High St,REGIONAL BUS,142.186520,-36.711238
27647,Federation University Melbourne/Baillie St,REGIONAL BUS,142.185408,-36.711850
27648,Horsham College/Baillie St,REGIONAL BUS,142.185539,-36.711721
27649,Horsham West & Haven Primary School - West Campus/Hillary St,REGIONAL BUS,142.180296,-36.716488
27650,Hillary St/Natimuk Rd,REGIONAL BUS,142.182842,-36.719960
27651,Philip St/Churchill Rd,REGIONAL BUS,142.184631,-36.718717
27652,Elizabeth St/Churchill Rd,REGIONAL BUS,142.184153,-36.716176
27653,Dougherty St/Churchill Rd,REGIONAL BUS,142.182836,-36.713439
27654,Ritchie Ct/Baillie St,REGIONAL BUS,142.180166,-36.712313
27655,Bennett Rd/Natimuk Rd,REGIONAL BUS,142.186232,-36.718692
27656,Shopping Square/Wilson St,REGIONAL BUS,142.193659,-36.716562
27657,Wavell St/Kalkee Rd,REGIONAL BUS,142.200735,-36.702826
27658,Dudley W.Cornell Park/Kalkee Rd,REGIONAL BUS,142.200958,-36.703195
27659,Motavu Dr/Kalkee Rd,REGIONAL BUS,142.201718,-36.699254
27660,Horsham Primary School - Rasmussen Campus/Rasmussen Rd,REGIONAL BUS,142.203610,-36.696890
27661,Horsham Primary School - Rasmussen Campus/Rasmussen Rd,REGIONAL BUS,142.203447,-36.697000
27662,Horsham Primary School - Rasmussen Campus/Albert St,REGIONAL BUS,142.205594,-36.698078
27663,Watts St/Albert St,REGIONAL BUS,142.204933,-36.701329
27664,Palm Ave/Edith St,REGIONAL BUS,142.212151,-36.704322
27665,Palm Ave/Edith St,REGIONAL BUS,142.212209,-36.704459
27666,Knowles St/Pryors Rd,REGIONAL BUS,142.216849,-36.704313
27667,Knowles St/Pryors Rd,REGIONAL BUS,142.216606,-36.704439
27668,Royal Ct/Knowles St,REGIONAL BUS,142.217583,-36.705991
27669,Webster St/Lawrence St,REGIONAL BUS,142.215515,-36.707592
2767,Austin St/Warncoort-Birregurra Rd,REGIONAL BUS,143.783436,-38.336190
27670,Trinity Dr/Culliver St,REGIONAL BUS,142.214193,-36.708709
27671,Sunnyside Horsham Bowling Club/Olga Ave,REGIONAL BUS,142.212462,-36.709927
27672,Wimmera Base Hospital/Baillie St,REGIONAL BUS,142.209180,-36.711623
27673,Burgess St/Oconnor St,REGIONAL BUS,142.187804,-36.709660
27674,James St/Oconnor St,REGIONAL BUS,142.189686,-36.709079
